trial_number,timestamp,val_f1,train_f1,f1_discrepancy,val_err,train_err,err_discrepancy,hp_dim_n_components,hp_xgb_max_depth,hp_xgb_learning_rate,hp_xgb_subsample,hp_xgb_colsample_bynode,hp_xgb_min_child_weight,hp_xgb_min_split_loss,hp_xgb_lambda,hp_xgb_alpha,hp_val_split,hp_seed,hp_num_rounds,hp_early_stopping_rounds,hp_dim_reduction_method,hp_xgb_num_parallel_tree
39,2025-08-10T21:54:50.279120,0.640854,0.702176,0.06132199999999999,0.34725050916496947,0.28690591658583897,0.060344592579130496,700,5,0.0002373506745394035,0.6153099271682358,0.32603669288150927,5.3417091919518525,2.428905151523602,16.936961249597914,18.027071388714972,0.4,42,100000,500,svd,1
40,2025-08-10T21:54:59.279706,0.659345,0.740076,0.080731,0.32732033750363687,0.24946653734238602,0.07785380016125085,500,3,0.00127522741131435,0.7410405551185708,0.17086876024095393,9.602855370079281,1.0058000471710136,13.237896139192895,13.892971545857254,0.4,42,100000,500,svd,1
41,2025-08-10T21:55:24.890887,0.683013,0.880441,0.19742800000000005,0.30215304044224617,0.11435499515033948,0.1877980452919067,600,5,0.004775795860224347,0.5180199190859037,0.24961460491993126,7.089718625669419,3.9501103307297787,12.1374268087353,15.086110592267845,0.4,42,100000,500,svd,1
42,2025-08-10T21:55:40.581381,0.680963,0.85188,0.17091699999999999,0.3054989816700611,0.1419980601357905,0.16350092153427062,400,4,0.0071887879464061135,0.5096717521584957,0.26040354591437964,6.675257555151239,4.662700646449394,16.07112443014165,15.920756577666925,0.4,42,100000,500,svd,1
43,2025-08-10T21:55:55.486017,0.680843,0.87073,0.18988700000000003,0.3054989816700611,0.12376333656644035,0.18173564510362078,500,5,0.00358447601969025,0.4374867880358998,0.22279261538223225,8.417893829412028,4.473103822260331,14.503244788543512,16.721488303477084,0.4,42,100000,500,svd,1
44,2025-08-10T21:56:16.577594,0.686882,0.885453,0.19857100000000005,0.29866162350887404,0.10950533462657613,0.1891562888822979,600,5,0.006692229685886599,0.5534421763504936,0.46737827793779096,7.983936485436069,3.9641946019635275,12.564401776966244,15.243762220077992,0.4,42,100000,500,svd,1
45,2025-08-10T21:56:28.769657,0.679654,0.809544,0.12989000000000006,0.3082630200756474,0.18331716779825413,0.12494585227739324,300,4,0.0050440396699752196,0.5843438701149427,0.37581206306353554,12.018929867655118,4.290860241006036,13.791876435842864,17.61270156284508,0.4,42,100000,500,svd,1
46,2025-08-10T21:56:45.393803,0.67266,0.781691,0.10903099999999999,0.3136456211812627,0.2096023278370514,0.10404329334421131,700,3,0.0027030843598843217,0.6299595981950612,0.1996311228032484,5.6883803403451685,3.4534360714086314,9.05513999170028,13.801065160142473,0.4,42,100000,500,svd,1
47,2025-08-10T21:57:06.967482,0.681361,0.858165,0.17680399999999996,0.30360779749781786,0.13549951503394764,0.16810828246387022,1000,4,0.003882499230773096,0.6931027607974906,0.1483980523471159,6.38473250827893,1.8048487826806792,11.639212023444667,11.534995475750446,0.4,42,100000,500,svd,1
48,2025-08-10T21:57:27.494332,0.687945,0.926896,0.23895100000000002,0.2961885365144021,0.06964112512124151,0.22654741139316056,600,5,0.0077428395805373244,0.6599596297549297,0.28716729643870553,12.956956136886436,2.0814960392540467,10.173783330733508,9.986559506652725,0.4,42,100000,500,svd,1
